## RECSRecommendations Upload File,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date,entity.custom9,entity.custom10
500001,Paris,"KSA,NonKSA","When in doubt, go to Paris",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,CDG,RUH,USD,en,RUH-CDG-11,18-12-2024,,
500002,New York,KSA,Fun and endless activities await at New York,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,1200,https://www.riyadhair.com/en/discover-riyadh,600,5.25,NY,RUH,USD,en,RUH-NY-11,25-12-2024,,
500003,Tokyo,"KSA,NonKSA",Doing this sweet thing called exploring Tokyo,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,1500,https://www.riyadhair.com/en/discover-riyadh,600,6.5,HND,RUH,USD,en,RUH-HND-11,22-12-2024,,
500004,Jeddah,KSA,Discovering Jeddah,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Jeddah.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,20.55,JED,RUH,USD,en,RUH-JED-11,22-12-2024,,
500005,Dubai,"KSA,NonKSA","Going to Dubai, be back never",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,10.25,UAE,RUH,USD,en,RUH-UAE-11,22-12-2024,,
500006,Muscat,"KSA,NonKSA",Warm hospitality and ancient history,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,5.25,MCT,RUH,USD,en,RUH-MCT-11,22-12-2024,,
500007,Riyadh,NonKSA,An ancient fortress that symbolizes Saudi Arabia's unification ,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Riyadh.jpg,1200,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,NY,USD,en,NY-RUH-11,22-12-2024,,
500008,London,NonKSA,Vibrant experience in the heart of London,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,550,https://www.riyadhair.com/en/discover-riyadh,600,20.55,RUH,LHR,USD,en,LHR-RUH-22,26-12-2024,,
500009,باريس,"KSA,NonKSA","عندما تكون في شك، انتقل إلى باريس",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,800,https://www.riyadhair.com/en/discover-riyadh,500,10.25,CDG,RUH,USD,ar,RUH-CDG-11,18-12-2024,,
500010,نيويورك,KSA,أنشطة ممتعة لا نهاية لها بانتظارك في نيويورك,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,1200,https://www.riyadhair.com/en/discover-riyadh,500,5.25,NY,RUH,USD,ar,RUH-NY-11,25-12-2024,,
500011,طوكيو,"KSA,NonKSA",القيام بهذا الشيء الجميل الذي يسمى استكشاف طوكيو,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,1500,https://www.riyadhair.com/en/discover-riyadh,500,6.5,HND,RUH,USD,ar,RUH-HND-11,22-12-2024,,
500012,جدة,KSA,اكتشاف جدة,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Jeddah.jpg,600,https://www.riyadhair.com/en/discover-riyadh,500,20.55,JED,RUH,USD,ar,RUH-JED-11,22-12-2024,,
500013,دبي,"KSA,NonKSA","سأذهب إلى دبي، ولن أعود أبدًا",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,20.55,UAE,RUH,USD,ar,RUH-UAE-11,22-12-2024,,
500014,المسكات عنب طيب الشذا,"KSA,NonKSA",ضيافة دافئة وتاريخ عريق,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,10.25,MCT,RUH,USD,ar,RUH-MCT-11,22-12-2024,,
500015,الرياض,NonKSA,قلعة قديمة ترمز إلى توحيد المملكة العربية السعودية ,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Riyadh.jpg,1200,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,NY,USD,ar,NY-RUH-11,22-12-2024,,
