## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.sku,entity.name,entity.image,entity.price,entity.type_id,entity.category,entity.thumbnail,entity.description,entity.importedFrom
MH13,MH13,Marco Lightweight Active Hoodie,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh13-blue_main_2.jpg,74,configurable,Men / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh13-blue_main_2.jpg,"<p>For cold-weather training or post-game layering, you need something more than a basic fleece. Our Marco Lightweight Active Hoodie brings both style and performance to the plate, court, or touchline. The smooth-faced, brushed-back fabric blocks wind and traps body heat, while integrated Cocona&reg, fibers pull moisture away.</p>
<p>&bull, Light blue heather full zip hoodie.<br />&bull, Fitted flatlock seams.<br />&bull, Matching lining and drawstring. <br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
MS01,MS01,Aero Daily Fitness Tee,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/ms01-blue_main_1.jpg,24,configurable,Men / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/s/ms01-blue_main_1.jpg,"<p>Need an everyday action tee that helps keep you dry? The Aero Daily Fitness Tee is made of 100% polyester wicking knit that funnels moisture away from your skin. Don't be fooled by its classic style, this tee hides premium performance technology beneath its unassuming look.</p>
<p>Relaxed fit. <br>Short-Sleeve. <br>Machine wash/dry.</p>",https://magdev11.adobedemo.com
MH07,MH07,Hero Hoodie,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh07-gray_main_2.jpg,54,configurable,Men / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/h/mh07-gray_main_2.jpg,"<p>Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.</p>
<p>&bull, Full-zip gray and black hoodie.<br />&bull, Ribbed hem.<br />&bull, Standard fit.<br />&bull, Drawcord hood cinch.<br />&bull, Water-resistant coating.</p>",https://magdev11.adobedemo.com
MJ09,MJ09,Taurus Elements Shell,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/j/mj09-yellow_main_2.jpg,65,configurable,Men / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/j/mj09-yellow_main_2.jpg,"<p>What's a little rain or snow when you're inside the Taurus Elements Shell? This specially engineered Cocona&reg, jacket lets you enjoy the great outdoors and brave the elements, thanks to the all-waterproof, breathable exterior.</p>
<p>&bull, Yellow 1/4 zip pullover. <br />&bull, Two chest pockets.<br />&bull, Standard fit. <br />&bull, Waterproof, breathable, seam sealed. <br />&bull, Cocona&reg, performance fabric. <br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
MT02,MT02,Tristan Endurance Tank,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/t/mt02-white_main_2.jpg,29,configurable,Men / Tops,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/t/mt02-white_main_2.jpg,"<p>Push yourself through punishing runs, plyometric workouts, intense competition and more in our athletic Tristan Endurance Tank. Constructed with built-in moisture-wicking technology, it's designed to keep you completely cool and dry on the long haul.</p>
<p>&bull, White performance tank.<br />&bull, Stylish contrast stitching. <br />&bull, Relaxed fit. <br />&bull, Ribbed crew neckline. <br />&bull, Machine wash/dry.</p>",https://magdev11.adobedemo.com
MP12,MP12,Cronus Yoga Pant ,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp12-black_main_1.jpg,48,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp12-black_main_1.jpg,"<p>Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.</p>
<p>&bull, Drawstring waist.<br />&bull, Loose, straight-leg fit.<br />&bull, Lightweight cotton-recycled blend.<br />&bull, Front pockets with stitching detail.<br />&bull, Elastic ankle.</p>",https://magdev11.adobedemo.com
MP11,MP11,Aether Gym Pant ,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp11-brown_main_1.jpg,74,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp11-brown_main_1.jpg,"<p>The Aether Gym Pant is built for the studio, but adapts perfectly well to outdoor and gym environs too. With lightweight stretch fabric and water-repellent exterior, the Aether is ready for all comers.</p>
<p>&bull, Pants/shorts convertible.<br />&bull, Lightweight moisture wicking. <br />&bull, Water repellent.<br />&bull, Belted waist.</p>",https://magdev11.adobedemo.com
MP10,MP10,Orestes Yoga Pant ,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp10-black_main_2.jpg,66,configurable,Men / Bottoms,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp10-black_main_2.jpg,"<p>The Orestes Yoga Pant is a yoga basic that sustains the novice yogi well into the expert stage. Organic sustainable cotton and 9% stretch spandex let your body bend to your will while your conscience stays clear.</p>
<p>&bull, A yoga essential.<br />&bull, Breathable stretch organic cotton/spandex.<br />&bull, Standard Fit.</p>",https://magdev11.adobedemo.com
MP09,MP09,Livingston All-Purpose Tight,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp09-blue_main_1.jpg,75,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp09-blue_main_1.jpg,"<p>It's not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.</p>
<p>&bull, Breathable stretch organic cotton/spandex.<br />&bull, Compression fit<br />&bull, Hidden key pocket<br />&bull, Elastic waist with internal drawcord.</p>",https://magdev11.adobedemo.com
MP08,MP08,Zeppelin Yoga Pant,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp08-green_main_1.jpg,82,configurable,New Luma Yoga Collection,https://magdev11.adobedemo.com/media/catalog/product/cache/7fa649b51b890fd1480d6dfbd7897a94/m/p/mp08-green_main_1.jpg,"<p>Climb every mountain, or hold every pose, in the all-purpose Zepellin Yoga Pant. With its thin fleece interior and smooth layer-friendly surface, you'll get all the comfort and versatility you need.</p>
<p>&bull, Smooth exterior for easy over-layering.<br />&bull, Brushed fleece interior insulates and wicks. <br />&bull, No-roll elastic waistband with inner drawstring.<br />&bull, Chafe-resistant flatlock seams.</p>",https://magdev11.adobedemo.com
